active,collection_id,nickname,collection_name,collection_ssc_url,collection_portal_path,bib_id,max_download_size,format,location_type,publishing_target_id,solr_target,creator_sort,title_sort
no,532,,PAFDAO - Art Objects ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,559,squeezes,Cornell Antiquities - Monumentum Ancyranum Squeeze Molds ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,589,bastides,John Reps - Bastides ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,616,gamelan,Gamelan ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,657,,John Clair Miller ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,659,pjmode,Persusasive Maps: PJ Mode Collection,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,685,adwhite,Andrew Dickenson White Collection of Architectural Photographs ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,686,hill,Hill Ornithology Collection ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,687,beyondtaj,Beyond the Taj,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,746,ragamala,Ragamala Paintings ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,757,paniccioli,Ernie Paniccioli Archive ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,893,adler,Bill Adler Archive ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,920,rackeralbums,Efraim Racker Art Albums ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,922,politicalamericana,Political Americana ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,954,lauenberger,Lauenberger Map Collection ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,962,,Icelandic Stereoscopes ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,1032,,Icelandic - Cambridge Expedition Negatives ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,1034,,Cushman Recordings ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,1146,shrilanka,Sri Lankan Vernacular ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,2895,sterrett,Sterrett Photographs ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,2919,,Lab of Ornithology Gallery of Bird and Wildlife Art ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,2920,,Lab of Ornithology Gallery of Bird and Wildlife Art _Internal,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,2943,,Anthropology Lantern Slides ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,3016,,Tamang - Documents ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,3262,ahearn,Charlie Ahearn Archive ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,3320,,Signale ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,3321,testproject,Test Project for MAP,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,3410,,Fuertes ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,3450,,International Workers' Order (IWO) and Jewish People's Fraternal Order (JPFO),,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,3462,,Punk Flyers ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,3596,railroad,U.S. President's Railroad Commission Photographs ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,3609,johnclairmillericeland,John Clair Miller - Contemporary Icelandic Architecture ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,3686,tellennasbeth,Digitizing Tell en-Nasbeh ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,3786,blaschka,Blaschka ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,4210,dynkin,Dynkin Collection of Mathematics Interviews,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,4406,prisonwritings,19th Century Prison Reform Collection,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,4409,rudin,Rudin Slavery Collection,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,4411,lindsaycooper,Lindsay Cooper Digital Archive ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,4497,page,Art 2301 Printmaking Student Portfolios ,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
no,4547,,NYS Historical Dendrochronology Project,,,,media_URL_size_4_tesim,,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,,
yes,4803,seneca,Seneca Haudenosaunee Archaeological Materials,/collections/seneca,https://digital.library.cornell.edu/collections/seneca,,media_URL_size_4_tesim,Image,,,http://jrc88.solr.library.cornell.edu/solr/digitalcollections,photographer_creator_tesim,title_tesim